Initials,Team Number,Match Number,Robot Position,Starting Location,No Show,Taxied,Auto Upper Hub Scored,Auto Upper Hub Missed,Auto Lower Hub Scored,Upper Hub Scored,Lower Hub Scored,Was Defended,Climb,Robot Disabled?,Comments
RO,2028,23,Blue 1,Middle,FALSE,TRUE,2,0,0,0,0,FALSE,Failed,TRUE,Got disabled and aim was really off; they did not move during climbing 
Dcd :),977,24,Red 1,Right,FALSE,,0,0,0,7,1,FALSE,Traversal,FALSE,
IB,2642,24,Red 2,Left,FALSE,TRUE,1,1,0,4,0,FALSE,High,FALSE,
TR,3359,24,Red 3,Middle,FALSE,TRUE,0,1,0,2,0,FALSE,Medium,FALSE,Shooter consistently shorty
ZO,422,24,Blue 2,Middle,FALSE,TRUE,0,3,0,10,0,FALSE,Medium,FALSE,
PV,384,24,Blue 3,Left,FALSE,TRUE,2,0,0,8,0,FALSE,Low,FALSE,
RO,122,24,Blue 1,Left,FALSE,TRUE,1,0,0,8,0,FALSE,Medium,FALSE,Pretty consistent and late climb
IB,2890,25,Red 2,Middle,FALSE,TRUE,0,0,1,5,0,FALSE,Medium,FALSE,
TR,1610,25,Red 3,Left,FALSE,TRUE,1,0,0,0,12,FALSE,NA,FALSE,
Dcd,6194,25,Red 1,Right,FALSE,TRUE,2,0,0,1,0,FALSE,NA,FALSE,
ZO,401,25,Blue 1,Right,FALSE,TRUE,3,0,1,25,0,FALSE,NA,FALSE,
GH,435,25,Blue 2,Middle,FALSE,TRUE,0,0,1,0,2,FALSE,Medium,FALSE,
RO,9991,25,Blue 3,Right,FALSE,TRUE,0,2,0,3,0,FALSE,Traversal,FALSE,Missed most shots and took a while to climb
RH,8590,26,Red 3,Left,TRUE,FALSE,0,0,0,0,0,FALSE,NA,FALSE,
RO,1599,26,Blue 3,Left,FALSE,TRUE,0,0,0,0,2,FALSE,NA,FALSE,Shooter is all out of wack
GH,1793,26,Blue 2,Right,FALSE,TRUE,0,0,0,0,4,FALSE,Medium,FALSE,
GC,619,26,Red 2,Left,FALSE,TRUE,1,1,0,5,0,FALSE,Traversal,FALSE,Decent but slow
ZO,900,26,Blue 1,Middle,FALSE,TRUE,1,0,0,0,0,FALSE,Medium,FALSE,driving seemed uncontrolled
EF,9998,26,Red 1,Right,FALSE,TRUE,0,0,0,0,0,TRUE,NA,FALSE,Lacking a climber arm as well as any utility during the match. It proceeded to spin very slowly but not much happened. 
ZO,2642,27,Blue 1,Left,FALSE,TRUE,0,0,0,0,0,FALSE,Failed,FALSE,
GC,5804,27,Red 2,Left,FALSE,TRUE,1,0,0,2,1,TRUE,Traversal,FALSE,Decent bot but slightly inaccurate 
GH,3737,27,Blue 2,Middle,FALSE,TRUE,0,0,1,0,5,FALSE,Traversal,FALSE,
RO,422,27,Blue 3,Left,FALSE,TRUE,1,1,0,13,0,FALSE,High,FALSE,Couldn’t do traversal for some reason
RH,3136,27,Red 3,Left,FALSE,TRUE,1,1,0,6,0,FALSE,Medium,FALSE,Struggled to intake balls 
EF,2028,27,Red 1,Middle,FALSE,TRUE,2,0,0,4,0,FALSE,Medium,FALSE,Intake struggled at times to grab balls. Shooting was accurate but time consuming. Climbed okay.
